epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6767,1.59155,3.58652,1.43977,0.00781,0.5166,0.04532,0.01903,1.41918,3.77189,1.21334,0.0002125,0.0002125,0.0002125
2,143.848,1.42512,2.1488,1.25456,0.94512,0.03523,0.31146,0.17167,1.41488,3.05151,1.1996,0.000415844,0.000415844,0.000415844
3,210.154,1.4229,1.77643,1.19442,0.59552,0.34358,0.36078,0.192,1.49531,2.40042,1.25957,0.000596913,0.000596913,0.000596913
4,286.158,1.37776,1.64324,1.19188,0.60018,0.41504,0.37166,0.20061,1.42261,2.24491,1.23728,0.000755706,0.000755706,0.000755706
5,359.794,1.36107,1.56293,1.2007,0.32878,0.50958,0.40097,0.21308,1.45152,2.19386,1.30652,0.000892225,0.000892225,0.000892225
6,429.155,1.3314,1.51985,1.20822,0.59911,0.50971,0.44323,0.23483,1.46002,2.06803,1.30135,0.000940625,0.000940625,0.000940625
7,498.753,1.28508,1.39524,1.19113,0.61095,0.5258,0.47416,0.26966,1.45726,2.37363,1.33053,0.00087875,0.00087875,0.00087875
8,568.022,1.2955,1.38389,1.19739,0.6328,0.55652,0.5613,0.30628,1.44805,1.9229,1.31916,0.000816875,0.000816875,0.000816875
9,645.492,1.29188,1.3816,1.21501,0.73281,0.58783,0.65274,0.34166,1.42151,1.57899,1.30188,0.000755,0.000755,0.000755
10,721.037,1.25869,1.237,1.16818,0.60168,0.67073,0.66454,0.36485,1.37765,1.49975,1.23853,0.000693125,0.000693125,0.000693125
11,797.052,1.26735,1.38717,1.16242,0.66655,0.65601,0.65463,0.35309,1.46428,1.59691,1.27692,0.00063125,0.00063125,0.00063125
12,867.365,1.16373,1.18547,1.09029,0.69984,0.57224,0.64027,0.35762,1.38891,1.52238,1.26939,0.000569375,0.000569375,0.000569375
13,933.788,1.15404,1.228,1.12561,0.70202,0.61294,0.63086,0.34845,1.41305,1.57922,1.26931,0.0005075,0.0005075,0.0005075
14,996.057,1.08085,1.16289,1.05782,0.69141,0.6686,0.70447,0.38777,1.35593,1.37411,1.22618,0.000445625,0.000445625,0.000445625
15,1059.14,1.10515,1.09939,1.06017,0.69616,0.66046,0.70811,0.40062,1.34725,1.34069,1.22248,0.00038375,0.00038375,0.00038375
16,1125.69,1.03701,1.03306,1.03251,0.79529,0.65249,0.75558,0.41492,1.33745,1.30736,1.22715,0.000321875,0.000321875,0.000321875
17,1193.23,1.02959,1.10695,1.04274,0.72275,0.67007,0.74716,0.42119,1.34428,1.29449,1.2471,0.00026,0.00026,0.00026
18,1251.52,1.04041,0.9892,1.03166,0.68869,0.71713,0.70792,0.40755,1.33363,1.32658,1.21959,0.000198125,0.000198125,0.000198125
19,1314.61,0.98559,0.92984,1.02268,0.74561,0.70071,0.74366,0.42638,1.29767,1.27959,1.20467,0.00013625,0.00013625,0.00013625
20,1377.21,1.00258,0.91802,1.03255,0.70867,0.72978,0.74498,0.42854,1.2825,1.25124,1.20094,7.4375e-05,7.4375e-05,7.4375e-05
